Instituição,Título,Data de Lançamento,Prazo,Link,Documentos,Documentos Relacionados
FINEP,Finep Mais Inovação Brasil - Rodada 2 - Saúde / Empresas,06/02/2026,31/08/2026,https://www.finep.gov.br/e/chamada-publica/222684/754704,1,
FINEP,Finep Mais Inovação Brasil - Rodada 2 - Subvenção Econômica Regional,06/02/2026,09/04/2026,https://www.finep.gov.br/e/chamada-publica/222684/755080,1,
FINEP,Finep Mais Inovação Brasil – Rodada 2 - Base Industrial de Defesa,06/02/2026,30/09/2026,https://www.finep.gov.br/e/chamada-publica/222684/754961,1,
FINEP,Finep Mais Inovação Brasil – Rodada 2 – Cadeias Agroindustriais Sustentáveis,06/02/2026,30/09/2026,https://www.finep.gov.br/e/chamada-publica/222684/754839,1,
FINEP,Finep Mais Inovação Brasil – Rodada 2 – Transformação Mineral,06/02/2026,31/08/2026,https://www.finep.gov.br/e/chamada-publica/222684/754473,1,
FINEP,Finep Mais Inovação Brasil – Rodada 2 – Transição Energética,06/02/2026,31/08/2026,https://www.finep.gov.br/e/chamada-publica/222684/754567,1,
FAPESB,DIRETRIZES ESPECÍFICAS DA FAPESB – Chamada para submissão de propostas do programa de Intercâmbio de Pessoal (MSCA SE) em coordenação com o Horizonte Europa,29/01/2026,,https://www.fapesb.ba.gov.br/diretrizes-especificas-da-fapesb-chamada-para-submissao-de-propostas-do-programa-de-intercambio-de-pessoal-msca-se-em-coordenacao-com-o-horizonte-europa-2/,1,
FAPESB,EDITAL FAPESB/SECTI nº 003/2026 – Apoio a Pesquisas e Inovações para a Defesa Nacional e a Segurança Pública,20/01/2026,,https://www.fapesb.ba.gov.br/edital-fapesbsecti-no-0032026-apoio-a-pesquisas-e-inovacoes-para-a-defesa-nacional-e-a-seguranca-publica/,1,
FINEP,SELEÇÃO PÚBLICA MCTI/FINEP/FNDCT - Subvenção Econômica à Inovação - DESAFIOS TECNOLÓGICOS PARA AGRICULTURA FAMILIAR,23/12/2025,,https://www.finep.gov.br/e/chamada-publica/222684/754098,1,
FINEP,Pesquisa Aplicada Em Centros Temáticos 2025,19/12/2025,29/05/2026,https://www.finep.gov.br/e/chamada-publica/222684/753688,1,
FINEP,PROCESSO DE SELEÇÃO Nº 01/2025 PARA CELEBRAÇÃO DE CONVÊNIO COM ENTIDADE FECHADA DE PREVIDÊNCIA COMPLEMENTAR - EFPC,05/12/2025,,https://www.finep.gov.br/e/chamada-publica/222684/753680,1,
FAPESB,"EDITAL FAPESB Nº 030/2025 APOIO À PESQUISA CIENTÍFICA, TECNOLÓGICA E/OU DE INOVAÇÃO EM DOENÇAS E AGRAVOS PREVALENTES NA POPULAÇÃO NEGRA, COM ÊNFASE EM DOENÇA FALCIFORME E OS IMPACTOS DO RACISMO ESTRUTURAL NA SAÚDE – EDIÇÃO ANTÔNIA GARCIA",20/11/2025,,https://www.fapesb.ba.gov.br/edital-fapesb-no-0302025-apoio-a-pesquisa-cientifica-tecnologica-eou-de-inovacao-em-doencas-e-agravos-prevalentes-na-populacao-negra-com-enfase-em-doenca-falciforme-e-os-impactos-do-racismo-estrut/,1,
FINEP,FIP Bioeconomia e Sustentabilidade,11/11/2025,,https://www.finep.gov.br/e/chamada-publica/222684/752980,1,
FAPESB,Edital Nº 024/2025 Programa Nacional de Apoio à Geração de Empreendimentos Inovadores Programa Centelha 3 Bahia,06/11/2025,,https://www.fapesb.ba.gov.br/edital-no-0242025-programa-nacional-de-apoio-a-geracao-de-empreendimentos-inovadores-programa-centelha-3-bahia/,1,
CAPES,"Edital Conjunto nº 04/2024 - Programa CAMINHOS AMEFRICANOS: PROGRAMA DE INTERCÂMBIOS SUL-SUL - EDIÇÃO PERU, EDIÇÃO ANGOLA e EDIÇÃO REPÚBLICA DOMINICANA, formato pdf, 146kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/23122024_Edital_2517683_SEI_2515663_Edital_Conjunto_4_2024.pdf/@@display-file/file,6,"EDITAL CONJUNTO N° 4/2024 - ALTERAÇÃO - CAMINHOS AMEFRICANOS: PROGRAMA DE INTERCÂMBIOS SUL-SUL - EDIÇÕES PERU, ANGOLA E REPÚBLICA DOMINICANA, formato, pdf, 63kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/Edital_2620581_SEI_2617290_Edital_Conjunto_4_2024.pdf/@@display-file/file ; Retificação do Edital Conjunto nº 04/2024 - Programa CAMINHOS AMEFRICANOS: PROGRAMA DE INTERCÂMBIOS SUL-SUL - EDIÇÃO PERU, EDIÇÃO ANGOLA e EDIÇÃO REPÚBLICA DOMINICANA, formato pdf, 71kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/16012025_Edital_2528145_SEI_2526246_Edital_Conjunto_N__4_2024___RETIFICACAO.pdf ; Lista de Inscritos do Edital Conjunto nº 04/2024 - Peru - Programa Programa CAMINHOS AMEFRICANOS: PROGRAMA DE INTERCÂMBIOS SUL-SUL - EDIÇÃO PERU, EDIÇÃO ANGOLA e EDIÇÃO REPÚBLICA DOMINICANA, formato pdf, 443kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/06032025_Lista_Listagem_2550258_MIR_lista_de_inscritos___alterado.pdf ; Lista de Inscritos do Edital Conjunto nº 04/2024 - Angola, República Dominicana - Programa Programa CAMINHOS AMEFRICANOS: PROGRAMA DE INTERCÂMBIOS SUL-SUL - EDIÇÃO PERU, EDIÇÃO ANGOLA e EDIÇÃO REPÚBLICA DOMINICANA, formato pdf, 264kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/17032025_Lista_Listagem_2557320_Lista_de_Inscritos_Angola_e_Rep_Dominicana.pdf ; Alteração do Edital Conjunto nº 04/2024 - Programa CAMINHOS AMEFRICANOS: PROGRAMA DE INTERCÂMBIOS SUL-SUL - EDIÇÃO PERU, EDIÇÃO ANGOLA e EDIÇÃO REPÚBLICA DOMINICANA, formato pdf, 63kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/14082025_EditalConjunto42024_Alterao.pdf"
CAPES,"Edital Nº 07/2025 - CAPES/Brafitec, formato, pdf, 207kb",03/04/2025,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/03042025_Edital_2574246_SEI_2572796_Edital_n__7_2025.pdf,4,"Alteração do Edital Nº 07/2025 - CAPES/Brafitec, formato, pdf, 65kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/25062025_Edital_2623304_SEI_2622327_Edital_n__7_2025___Alteracao.pdf ; Lista de Inscrições Recebidas no Programa CAPES-BRAFITEC - Edital nº 07/2025, formato, pdf, 173kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/23072025_Lista_Listagem_2636522_lista_de_inscritos___Brafitec.pdf ; Retificação da lista de Inscrições Recebidas no Programa CAPES-BRAFITEC - Edital nº 07/2025, formato, pdf, 201kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/04082025_Listagem_2643912_Lista_de_Inscritos.pdf"
CAPES,"Edital nº 09/2025 - CAPES/Cofecub, formato, pdf, 207kb",09/04/2025,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/09042025_Edital_2578055_SEI_2577896_Edital_n__9_2025.pdf,2,"Relação das inscrições Recebidas do edital nº 09/2025, formato, pdf, 304kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/25062025_Lista_Listagem_2617939_Lista_de_inscritos_25.pdf"
CAPES,"Edital nº 15/2024 - Política de Novação para Bolsistas e Ex-Bolsistas no Exterior, formato - pdf, 133kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/28062024_Edital_2407822_SEI_2407228_Edital_15_2024.pdf/@@display-file/file,3,"Prorrogação do Edital nº 15/2024 - Política de Novação para Bolsistas e Ex-Bolsistas no Exterior, formato - pdf, 60kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/29102024_Edital_2486324_SEI_2485381_Edital_15_2024.pdf/@@display-file/file ; Alteração do Edital nº 15/2024 - Política de Novação para Bolsistas e Ex-Bolsistas no Exterior, formato - pdf, 61kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/06062025_Publicacao_no_DOU_2612769_SEI_2611767_Edital_15_2024.pdf"
FINEP,FIP Transição Energética e Descarbonização,04/06/2025,,https://www.finep.gov.br/e/chamada-publica/222684/752871,1,
CAPES,"Edital nº 05/2025 - Programa CAPES/CLIMAT-AMSUD, formato - pdf, 21kb",14/03/2025,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/14032025_Edital_2561854_SEI_2560981_Edital_5.pdf,5,"Edital nº 05/2025 - ProgramaCAPES/CLIMAT-AMSUD, formato - pdf, 21kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/14032025_Edital_2561854_SEI_2560981_Edital_5.pdf ; Edital nº 05/2025 - Programa CAPES/STIC-AMSUD, formato - pdf, 21kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/14032025_Edital_2561854_SEI_2560981_Edital_5.pdf ; Lista de inscritos do Edital nº 05/2025 - Programa CAPES/MATH-AMSUD, formato - pdf, 62kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/02062025_Lista_Listagem_2602780_amsud_2025.pdf ; Lista de inscritos do Edital nº 05/2025 - Programa CAPES/CLIMAT-AMSUD, formato - pdf, 62kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/02062025_Lista_Listagem_2602780_amsud_2025.pdf"
CAPES,"Edital nº 10/2025 - Política de Novação para Bolsistas e Ex-Bolsistas no Exterior, formato - pdf, 102kb",30/04/2025,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/30042025_Edital_2589477_SEI_2588226_Edital_n__10_2025.pdf,1,
FINEP,Seleção de Gestor para o FIP Complexo da Saúde,07/04/2025,,https://www.finep.gov.br/e/chamada-publica/222684/752474,1,
CAPES,"Edital nº 1/2025 - Pé-de-Meia Licenciaturas - formato, pdf, 76kb",17/01/2025,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/17012025_Edital_2529011_SEI_2528468_Edital_n__1_2025.pdf,4,"Alteração do edital nº 1/2025 - Pé-de-Meia Licenciaturas - formato, pdf, 76kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/07022025_Edital_2541491_SEI_2540577_Edital_1_2025.pdf ; Tornar sem efeito a alteração do edital nº 1/2025 - Pé-de-Meia Licenciaturas - formato, pdf, 142kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/17022025_Publicacao_no_DOU_2546770_EDITAL_1_2025__TORNAR_SEM_EFEITO_ALTERACAO.pdf ; Alteração do edital nº 1/2025 - Pé-de-Meia Licenciaturas - Segunda chamada - formato, pdf, 51kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/04042025_Edital_2574981_SEI_2574897_Edital_1_2025.pdf"
CAPES,"Edital Nº 10/2023 - CAPES/Brafitec, formato, pdf, 429kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/13042023_Edital_1953404_Edital_10.2023.pdf/@@display-file/file,3,"Lista de inscritosEdital Nº 10/2023 - CAPES/Brafitec, formato, pdf, 52kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/18092023_Lista_Listagem_2234997_Lista_de_inscritos_2023.pdf/@@display-file/file ; Alteração do Edital n° 10/2023 - Brafitec, formato, pdf, 51kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/27032025_Edital_2570257_SEI_2569933_Edital_N__10_2023___ALTERACAO.pdf"
CAPES,"Edital nº 11/2024 - CAPES/Brafitec, formato, pdf, 583kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/15042024_EDITAL112024PROGRAMABRAFITEC.pdf/@@display-file/file,3,"Lista de Inscrições Recebidas no Programa CAPES-BRAFITEC - Edital nº 11/2024, formato, pdf, 44kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/24092024_Lista_Listagem_2459366_Lista_de_Inscritos.pdf/@@display-file/file ; Alteração do Edital nº 11/2024 - CAPES/Brafitec, formato, pdf, 51kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/27032025_Edital_2570314_SEI_2569939_Edital__N__11_2024___ALTERACAO.pdf"
CAPES,"Edital nº 16/2024 - Programa CAPES/AUGM, formato - pdf, 235kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/08072024_Edital_2413631_SEI_2413500_Edital_16_2024.pdf/@@display-file/file,3,"Lista de inscritos do Edital nº 16/2024, formato, pdf, 174kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/30092024_Lista_Listagem_2456928_Lista_de_inscritos.pdf/@@display-file/file ; Alteração do Edital nº 16/2024 - Programa CAPES/AUGM, formato - pdf, 52kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/24032025_Edital_2567485_SEI_2566349_Edital_n__16_2024___Alteracao_IV.pdf"
FINEP,Conhecimento Brasil,07/08/2024,,https://www.finep.gov.br/e/chamada-publica/222684/749717,1,
FINEP,Edital FIP Nordeste Capital Semente,10/07/2024,,https://www.finep.gov.br/e/chamada-publica/222684/749273,1,
FINEP,"SOLUÇÕES TECNOLÓGICAS PARA AUMENTO DA PRODUTIVIDADE NA AGRICULTURA FAMILIAR, AQUICULTURA E PESCA ARTESANAL",08/07/2024,,https://www.finep.gov.br/e/chamada-publica/222684/748141,1,
FINEP,Chamada pública conjunta Finep e Rede Eureka 2024,31/01/2024,,https://www.finep.gov.br/e/chamada-publica/222684/747009,1,
FINEP,Programa de Investimento em Startups Inovadoras 2ª Rodada,21/11/2017,,https://www.finep.gov.br/e/chamada-publica/222684/721708,1,
FINEP,COOPERAÇÃO ICT-EMPRESA – 01/2017,08/05/2017,,https://www.finep.gov.br/e/chamada-publica/222684/721088,1,
FINEP,Finep / CDTI - COOPERAÇÃO ICT-EMPRESA – 01/2017,07/05/2017,,https://www.finep.gov.br/e/chamada-publica/222684/721094,1,
FINEP,Chamada Pública Bilateral Finep-CDTI,13/10/2015,,https://www.finep.gov.br/e/chamada-publica/222684/719676,1,
CAPES,"Alteração do Edital CAPES/DAAD Probral nº 14/2019 - pdf, 60kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/24052024_Edital_2384178_SEI_2382892_Edital_14_2019___Alteracao_II.pdf/@@display-file/file,1,
CAPES,"Alteração do Edital Nº 12/2019 - CAPES/COFECUB - formato, pdf, 68kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/19062024_Edital_2400250_SEI_2399447_Edital_12_2019___ALTERACAO_III.pdf/@@display-file/file,1,
CAPES,"Alteração do edital nº 19/2022 -ProgramaCAPES/MATH-AMSUD, formato - pdf, 60kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/19062024_Edital_2400204_SEI_2399434_Edital_19_2022___ALTERACAO_II.pdf/@@display-file/file,1,
CAPES,"Alteração do Edital nº 36/2017 - formato, pdf, 246kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/EDITAL362017_HUMBOLDT_Alterao.pdf/@@display-file/file,1,
CAPES,"Alteração Edital nº 11 - Programa Cátedra Jorge Amado, formato, pdf, 53,3kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/edital_2845089_sei_2843522_edital_n__11_2026.pdf/@@display-file/file,1,
CAPES,"Alteração Edital nº 16/2026 - Programa AURORA, formato, pdf, 982kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/edital_2853575_edital.pdf/@@display-file/file,1,
CAPES,Chamada Pública para Envio de Proposta de Curso Novo - Edital nº 20/2026,,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/edital_2844920.pdf/@@display-file/file,1,
CAPES,"Edital CAPES/DAAD Probral nº 06/2021, formato, pdf, 254kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/EDITAL6PROBRAL.pdf/@@display-file/file,3,"Alteração do Edital CAPES/DAAD Probral nº 06/2021, formato, pdf, 67kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/19062024_Edital_2400395_SEI_2398543_Edital_6_2021__1_.pdf/@@display-file/file ; Lista de inscritos do Edital CAPES/DAAD Probral nº 06/2021, formato, pdf, 47kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/18062021_Edital_6_2021_PROBRAL.pdf/@@display-file/file"
CAPES,"Edital CAPES/DAAD Probral nº 09/2023, formato - pdf, 472kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/10042023_Edital_1950397_SEI_CAPES___1950165___Edital_9_2023.pdf/@@display-file/file,4,"Alteração do Edital CAPES/DAAD Probral nº 09/2023, formato - pdf, 60kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/19062024_Edital_2400189_SEI_2398591_Edital_21_2022.pdf/@@display-file/file ; Relação das inscrições do Edital CAPES/DAAD Probral nº 09/2023, formato, pdf, 412kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/19072023_Lista_Listagem_2018436_Probral_23.pdf/@@display-file/file ; Alteração do EditalCAPES/DAAD Probalnº9/2023, formato, pdf, 113kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/20062023_Edital_2001190_EDITAL_9_2023_SITE.pdf/@@display-file/file"
CAPES,"Edital CAPES/DAAD Probral nº 09/2024, formato - pdf, 630kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/04042024_EDITAL9CAPESDAADPROBRAL.pdf/@@display-file/file,3,"Lista de inscritos do Edital CAPES/DAAD Probral nº 09/2024, formato - pdf, 334kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/21062024_Lista_Listagem_2398276_probral.pdf/@@display-file/file ; Alteração do Edital CAPES/DAAD Probral nº 09/2024, formato - pdf, 52kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/03062024_Edital_2388049_SEI_2386684_Edital_9_2024.pdf/@@display-file/file"
CAPES,"Edital CAPES/DAAD Probral nº 21/2022, formato, pdf, 376kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/18042022_Edital_1681234_Edital_21.22.pdf/@@display-file/file,3,"Alteração do Edital CAPES/DAAD Probral nº 21/2022, formato, pdf, 101kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/19062024_Edital_2400189_SEI_2398591_Edital_21_2022.pdf/@@display-file/file ; Relação das inscrições do Edital CAPES/DAAD Probral nº21/2022, formato, pdf, 78kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/13072022_Lista_Listagem_1748985_Probral.pdf/@@display-file/file"
CAPES,Edital Conjunto nº 5/2026 - Programa OBEDUC-EI - Observatório da Educação Especial Inclusiva,,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/edital-no-5.pdf/@@display-file/file,2,"Edital Conjunto nº 5/2026 - Programa OBEDUC-EI, formato, pdf, 9,67mb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/edital-no-5.pdf/@@display-file/file"
CAPES,"Edital Conjunto nº 6/2026 - CAPES/CNJ - Apoio a Pesquisas Judiciárias, formato, pdf, 257kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/edital_2873621_sei___23038-001405_2026_81.pdf/@@display-file/file,1,
CAPES,"Edital nº 039/2013 - Programa de Desenvolvimento Profissional para Professores de Língua Inglesa nos EUA - PDPI - pdf, 400kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/Edital_039_2013_PDPI.pdf/@@display-file/file,1,
CAPES,"Edital nº 05/2023 - ProgramaCAPES/MATH-AMSUD, formato - pdf, 473kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/15032023_Edital_1933938_Edital_5_2023.pdf/@@display-file/file,3,"Alteração do Edital nº 05/2023 - ProgramaCAPES/MATH-AMSUD, formato - pdf, 60kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/19062024_Edital_2400239_SEI_2399449_Edital_05_2023___ALTERACAO_II.pdf/@@display-file/file ; Relação das inscrições do Edital nº 05/2023 - ProgramaCAPES/MATH-AMSUD, formato - pdf, 571kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/30052023_Lista_Listagem_1984677_Lista_de_inscritos_Math_Amsud_Edital_5.2023.pdf/@@display-file/file"
CAPES,"Edital nº 05/2024 - ProgramaCAPES/CLIMAT-AMSUD, formato - pdf, 239kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/20032024_Edital_2343766_SEI_2342530_Edital_05_2024.pdf/@@display-file/file,4,"Edital nº 05/2024 - ProgramaCAPES/STIC-AMSUD, formato - pdf, 239kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/20032024_Edital_2343766_SEI_2342530_Edital_05_2024.pdf/@@display-file/file ; Alteração do Edital nº 05/2024 - ProgramaCAPES/MATH-AMSUD, formato - pdf, 57kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/07052024_Edital_2373417_SEI_2372656_Edital_05_2024.pdf/@@display-file/file ; Edital nº 05/2024 - ProgramaCAPES/MATH-AMSUD, formato - pdf, 239kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/20032024_Edital_2343766_SEI_2342530_Edital_05_2024.pdf/@@display-file/file"
CAPES,"Edital nº 06/2023 - ProgramaCAPES/STIC-AMSUD, formato - pdf, 473kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/15032023_Edital_1933950_Edital_6_2023.pdf/@@display-file/file,3,"Alteração do Edital nº 06/2023 - Programa CAPES/STIC-AMSUD, formato - pdf, 68kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/19062024_Edital_2400119_SEI_2399429_Edital_6_2023___Alteracao_II.pdf/@@display-file/file ; Relação das inscrições do Edital nº 06/2023 - Programa CAPES/STIC-AMSUD, formato - pdf, 571kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/30052023_Lista_Listagem_1984493_Lista_de_inscritos_Stic_Amsud_Edital_6.2023.pdf/@@display-file/file"
CAPES,"Edital nº 06/2024 - PDSE - formato, pdf, 133kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/21032024_Edital_2344636_SEI_2343579_Edital_6_2024.pdf/@@display-file/file,2,"Prorrogação do Edital nº 06/2024 - PDSE - formato, pdf, 55kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/10052024_Edital_2376323_SEI_2375557_Edital_6_2024.pdf/@@display-file/file"
CAPES,"Edital nº 07/2023 - ProgramaCAPES/CLIMAT-AMSUD, formato - pdf, 466kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/15032023_Edital_1933965_Edital_7_2023_.pdf/@@display-file/file,3,"Alteração doEdital nº 07/2023 - ProgramaCAPES/CLIMAT-AMSUD, formato - pdf, 68kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/19062024_Edital_2400133_SEI_2399445_Edital_07_2023___ALTERACAO_II.pdf/@@display-file/file ; Relação das inscrições do Edital nº 07/2023 - Programa CAPES/CLIMAT-AMSUD, formato - pdf, 570kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/30052023_Lista_Listagem_1984693_Lista_de_inscritos_Climat_Amsud_Edital_7.2023.pdf/@@display-file/file"
CAPES,"Edital nº 08/2023 - CAPES/Cofecub, formato, pdf, 495kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/03042023_Edital_1946708_Edital_8_2022.pdf/@@display-file/file,2,"Alteração doEdital nº 08/2023 - CAPES/Cofecub, formato, pdf, 68kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/20062024_Edital_2401059_SEI_2399441_Edital_08_2023___ALTERACAO_II.pdf/@@display-file/file"
CAPES,"Edital nº 08/2024 - CAPES/Cofecub, formato, pdf, 213kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/22032024_Edital_2345736_SEI_2343959_Edital_8.pdf/@@display-file/file,4,"Alteração do Edital nº 08/2024 - Programa CAPES/Cofecub, formato, pdf, 54kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/23122024_Edital_2517712_SEI_2516934_Edital_8_2024.pdf/@@display-file/file ; Prorrogação do Edital nº 08/2024 - CAPES/Cofecub, formato, pdf, 52kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/02072024_Edital_2409554_SEI_2409272_Edital_08_2024___Prorrogacao.pdf/@@display-file/file ; Alteração do Edital nº 08/2024 - CAPES/Cofecub, formato, pdf, 57kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/07052024_Edital_2373782_SEI_2372654_Edital_08_2024.pdf/@@display-file/file"
CAPES,"Edital nº 10/2022 - PDSE - formato, pdf, 337kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/16022022_Edital10.22PDSE.pdf/@@display-file/file,1,
CAPES,"Edital nº 16/2025 - formato, pdf, 360kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/11082025_Edital_2654124.pdf/@@display-file/file,2,"Lista de inscritos no edital nº 16/2025 - formato, pdf, 207kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/29102025_Lista_Listagem_2693783_SEI___23038.003238_2025_21_buffalo.pdf/@@display-file/file"
CAPES,Edital nº 16/2026 - Programa AURORA — Continuidade da Trajetória de Mães Cientistas,,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/Edital_2818271_SEI_2817084_Edital_16_2026__1_.pdf/@@display-file/file,1,
CAPES,"Edital nº 19/2017 - Programa de Desenvolvimento Profissional para Professores de Língua Inglesa nos EUA - PDPI - pdf, 315kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/31052017Edital192017PDPI.pdf/@@display-file/file,1,
CAPES,"Edital nº 19/2026 - Programa Capes/Universidade em Buffalo (Capes/UB) - Professor Visitante - formato, pdf, 139kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/Edital_2843097_SEI_2842333_Edital_n__19_2026.pdf/@@display-file/file,1,
CAPES,"Edital nº 20/2022 -Programa CAPES/STIC-AMSUD, formato, pdf - 286kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/07042022_Edital_1673688_EDITAL_20_2022_STIC_AMSUD.pdf/@@display-file/file,3,"Alteração do Edital nº 20/2022 -Programa CAPES/STIC-AMSUD, formato, pdf - 67kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/19062024_Edital_2400177_SEI_2399435_Edital_20_2022___ALTERACAO_I.pdf/@@display-file/file ; Relação das inscrições do Edital nº 20/2022 - Programa CAPES/STIC-AMSUD, formato - pdf, 358kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/06062022_Lista_Listagem_1727082_STIC.pdf/@@display-file/file"
CAPES,"Edital nº 21/2026 - Programa de Desenvolvimento da Pós-Graduação (PDPG) – Parcerias Estratégicas nos Estados VI – Rede de Pesquisa e Desenvolvimento da Região Nordeste, formato, pdf, 177kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/edital_2848691_sei_2847430_edital_n__21_2026.pdf/@@display-file/file,1,
